route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,pull_time
10000,38,D35G-BDH,BDH-D35G,Byadarahalli - Depot-35 Gate,3,
10001,38,500-D MRHB-RTNP,MTH-RTNP,Marathahalli Bridge - RT Nagara Police Station,3,
10002,38,SVPS-03,TCP-SVPS,CS-TC Palya - CS-St Vincent Palloti School,3,
10003,38,SVPS-03,SVPS-TCP,CS-St Vincent Palloti School - CS-TC Palya,3,
10004,38,375 JBS-BEML5,JBS-BEML5,Jayanagara Bus Station - BEML Layout 5th stage,3,
10007,38,SVPS-01,D10-SVPS,CS-Depot-10 Gate - CS-St Vincent Palloti School,3,
10008,38,SVPS-01,SVPS-D10,CS-St Vincent Palloti School - CS-Depot-10 Gate,3,
10009,38,293 SVPS-KBS,SVPS-KBS,St Vincent Palloti School - Kempegowda Bus Station,3,
10011,38,293 SVPS-KBS,KBS-SVPS,Kempegowda Bus Station - St Vincent Palloti School,3,
10014,38,240-K,KMT-BKR,KR Market (Kalasipalya) - Biskur,3,
10015,38,302 SBS-SVPSH,SBS-SVPS,Shivajinagara Bus Station - St Vincent Palloti School,3,
10016,38,240-K,BKR-KMT,Biskur - KR Market (Kalasipalya),3,
10019,38,MF-39,BUCG-RMS,Bengaluru University Gate - Ramasandra,3,
10020,38,MF-39,RMS-BUCG,Ramasandra - Bengaluru University Gate,3,
10023,38,MF-39 BUCG-UDB,BUC-UDB,Bengaluru University Gate - Udaya Badavane,3,
10024,38,SNR-RKL-JAPC,SNR-JAPC,Surya Nagara - Jigani APC Circle,3,
10025,38,MF-39 BUCG-UDB,UDB-BUCG,Udaya Badavane - Bengaluru University Gate,3,
10026,38,SNR-RKL-JAPC,JAPC-SNR,Jigani APC Circle - Surya Nagara,3,
10027,38,MF-39 CLO-RMS,CLO-RMS,Chandra Layout Circle - Ramasandra,3,
10028,38,BEL GS-12,BMSCB-BELF,CS-Bommasandra Canara Bank - CS-BEL Factory,3,
10029,38,BEL GS-12,BELF-BMSF,CS-BEL Factory - CS-Bommasandra Canara Bank,3,
10030,38,MF-39 CLO-RMS,RMS-CLO,Ramasandra - Chandra Layout Circle,3,
10034,38,CPR-1,CPR-SJP,Chandapura - Sarjapura,3,
10035,38,CPR-1,SJP-CPR,Sarjapura - Chandapura,3,
10037,38,ITPB-9A,ITPB-9A,CS-Yelahanka Satellite Town - CS-ITPL,3,
10038,38,ITPB-9A,ITPB-9A,CS-ITPL - CS-Yelahanka Satellite Town,3,
10040,38,59-D,GGM-KMT,Gangondanahalli Masjid - KR Market (Kalasipalya),3,
10041,38,BELGS-35,BELGS-35,CS-BEL Factory - CS-Gangondanahalli Chandra Layout,3,
10044,38,D12-RRMC,D12-RRMC,Depot-12 Kengeri - RR Medical College,3,
10045,38,D12-RRMC,RRMC-D12,RR Medical College - Depot-12 Kengeri,3,
10046,38,258 DSP-KBS-HAL,DSP-HAL,Dasanapura - HAL Main Gate,3,
10047,38,258 DSP-KBS-HAL,HAL-DSP,HAL Main Gate - Dasanapura,3,
10048,38,234-A  KMT-VJN-CLO,KMT-VJN-CLO,KR Market (Kalasipalya) - Chandra Layout,3,
10051,38,234-A  KMT-VJN-CLO,CLO-VJN-KMT,Chandra Layout - KR Market (Kalasipalya),3,
10052,38,ITPB-3C,ITPB-3C,CS-Ambedkar Institute of Technology - CS-ITPL,3,
10053,38,ITPB-3C,ITPB-3C,CS-ITPL - CS-Ambedkar Institute of Technology,3,
10054,38,MDP-ITPB,MDP-ITPL,Muddayanapalya - ITPL,3,
10055,38,MDP-ITPB,ITPL-MDP,ITPL - Muddinapalya,3,
10058,38,HSS-19,ECITY-HSS,CS-Electronic City - CS-Head Start School Kommasandra,3,
10059,38,HSS-19,HSS-ECITY,CS-Head Start School Kommasandra - CS-Electronic City,3,
10060,38,60-A VPS-MRH,MRH-VPS,Marenahalli (Marenahalli Metro Station) - Vidyaniketan Public School,3,
10061,38,242-B TVK-BELF,BELF-TVK,BEL Factory - Tavarekere,3,
10062,38,SBS-13K SHS-SBS-KDG,SHS-KDG,Sophiya School (KIA) - Kadugodi Bus Station,3,
10063,38,SHS-5,MSJBN-BSPS,CS-Miranda School - CS-Sophiya School,3,
10064,38,SHS-5,BSPS-MSJBN,CS-Sophiya School - CS-Miranda School,3,
10065,38,ITPL-7C,CPR-ITPL,CS-Chandapura - CS-ITPL,3,
10066,38,ITPL-7C,ITPL-CPR,CS-ITPL - CS-Chandapura,3,
10069,38,294-D,KMT-AGP,KR Market - Anagalipura,3,
10070,38,294-D,AGP-KMT,Anagalipura - KR Market,3,
10071,38,294-D SBS-AGP,SBS-AGP,Shivajinagara Bus Station - Anagalipura,3,
10072,38,294-D SBS-AGP,AGP-SBS,Anagalipura - Shivajinagara Bus Station,3,
10075,38,59-D,KMT-GGM,KR Market (Kalasipalya) - Gangondanahalli Masjid,3,
10076,38,317-YK,SVS-KTH,Swamy Vivekananda Metro Station/Isolation Hospital - Kattigenahalli,3,
10077,38,317-YK,KTH-SVS,Kattigenahalli - Swamy Vivekananda Metro Station,3,
10078,38,G-6 BEML5-SNBS,BEML5-SNBS,BEML Layout 5th stage - Shanthinagara Bus Station,3,
10079,38,BELGS-34,NPRPC-BELF,CS-NP Medical Store RPC Layout - CS-BEL Factory,3,
10080,38,BELGS-34,BELGS--34,CS-BEL Factory - CS-NP Medical Store RPC Layout,3,
10081,38,G-6 BEML5-SNBS,SNBS-BEML5,Shanthinagara Bus Station - BEML Layout 5th stage,3,
10082,38,382-AB,KMT-YTK,KR Market - Beerahalli,3,
10082,38,317-BR,KMT-YTK,KR Market - Beerahalli,3,2025-07-28T19:00:01.087577
10083,38,317-BR,BRH-KMT,Beerahalli - KR Market,3,2025-07-28T19:00:01.087577
10083,38,382-AB,BRH-KMT,Beerahalli - KR Market,3,
10084,38,BEMLB-22,RKHN-BEMLF,CS-RK Hegde Nagara - CS-BEML Factory,3,
10085,38,BEMLB-22,BEMLF-RKHN,CS-BEML Factory - CS-RK Hegde Nagara,3,
10086,38,201-G KNG-BEMLG,KNG-BEMLG,Kengeri Bus Station - BEML Gate,3,
10087,38,201-G BSK-SNW-BEMLG,BSK-BEMLG,Banashankari Bus Station - BEML Gate,3,
10088,38,201-G BSK-SNW-BEMLG,BEMLG-BSK,BEML Gate - Banashankari Bus Station,3,
10090,38,201-G KNG-BEMLG,BEMLG-KTTMC,BEML Gate - Kengeri Bus Station,3,
10094,38,143 D6G-NSR,D6G-NSR,Depot-06 Gate - Neelasandra Rose Garden,3,
10095,38,143 D6G-NSR,NSR-D6G,Neelasandra Rose Garden - Depot-06 Gate,3,
10096,38,201-G BEMLG-ELC,BEMLG-ELC,BEML Gate - Electronic City,3,
10097,38,201-G BEMLG-ELC,ELC-BEMLG,Electronic City - BEML Gate,3,
10098,38,BEML5-BEMLG,BEML5-BEMLG,BEML Layout 5th stage - BEML Gate,3,2025-07-28T19:00:01.087577
10098,38,BEML5-BEMLG,BEML5-BEML5,BEML Layout 5th stage - BEML Gate,3,
10099,38,BEML5-BEMLG,BEMLG-BEML5,BEML Gate - BEML Layout 5th stage,3,
10100,38,225-C BEML5-JNKLO,BEML5-JNKLO,BEML Layout 5th stage - Jnanakshi Layout,3,
10101,38,225-C BEML5-JNKLO,JNKLO-BEMK5,Jnanakshi Layout - BEML Layout 5th stage,3,
10102,38,225-C KBS-PTLMT,KBS-PTLMT,Kempegowda Bus Station - Patalamma Temple,3,
10103,38,225-C KBS-PTLMT,PTLMT-KBS,Patalamma Temple - Kempegowda Bus Station,3,
10104,38,225-C BEML5-KBS-BTP,BEML5-BTP,BEML Layout 5th stage - Bagmane Tech Park,3,
10106,38,500-AC,NMG-HBL,Nelamangala Bus Station - Hebbala Bridge,3,
10107,38,500-AC,HBL-NMG,Hebbala Bridge - Nelamangala Bus Station,3,
10108,38,43-JA,KBS-BRN,Kempegowda Bus Station - Bangarappa Nagara,3,
10109,38,43-JA,BRN-KBS,Bangarappa Nagara - Kempegowda Bus Station,3,
10110,38,43-JA DPJN-BRN,DPJN-BRN,Deepanjalinagara - Bangarappa Nagara,3,
10111,38,43-JA DPJN-BRN,BRN-DPJN,Bangarappa Nagara - Deepanjalinagara,3,
10112,38,63 SBS-CLO-AIT,SBS-AIT,Shivajinagara Bus Station - Ambedkar Institute of Technology,3,
10113,38,63 SBS-CLO-AIT,AIT-SBS,Ambedkar Institute of Technology - Shivajinagara Bus Station,3,
10114,38,60-J CLO-1BKRM,KRM-CLO,Koramangala 1st Block - Chandra Layout,3,
10115,38,242-FB,YLCGP-KBS,Yalachaguppe - Kempegowda Bus Station,3,
10116,38,MF-24 LGR-NGMS,LGR-NGMS,Laggere New Bus Stand - Nagasandra Metro Staiton,3,
10117,38,MF-24 LGR-NGMS,NGMS-LGR,Nagasandra Metro Staiton - Laggere New Bus Stand,3,
10118,38,C BUS KWS-1,KWS-GGP,CS-Kengeri Work Shop - CS-Goraguntepalya (Towards Yashwanthapura TTMC),3,
10119,38,C BUS KWS-1,GGP-KWS,CS-Goraguntepalya (Towards Yashwanthapura TTMC) - CS-Kengeri Work Shop,3,
10120,38,242-F YCK-D35G,YCK-D35G,Yalachaguppe - Depot-35 Gate,3,
10121,38,D39G-HSK,D39G-HSK,Depot-39 Hoskote - Hosakote Bus Stand (Old),3,
10122,38,D39G-HSK,HSK-D39G,Hosakote Bus Stand (Old) - Depot-39 Hoskote,3,
10125,38,227-VB SBS-GDGD,SBS-KMT-GDGD,Shivajinagara Bus Station - Gadigaiahana Doddy,3,
10126,38,227-VB SBS-GDGD,GDGD-KMT-SBS,Gadigaiahana Doddy - Shivajinagara Bus Station,3,
10133,38,401-KB VJN-RRMC,VJN-RRMC,Vijayanagara - RR Medical College,3,
10134,38,401-KB VJN-RRMC,RRMC-VJN,RR Medical College - Vijayanagara,3,
10142,38,D47G-KMSD,D47G-KMS,Depot-47 Gate - Kammasandra,3,
10143,38,D47G-KMSD,KMD-D47G,Kammasandra - Depot-47 Gate,3,
10144,38,D24G-KRPGH1,D24G-KRPGH,Depot-24 Gate - Krishnaraja Pura Govt Hospital,3,
10145,38,D24G-KRPGH1,KRPGH-D24G,Krishnaraja Pura Govt Hospital - Depot-24 Gate,3,
10155,38,ITPB-1M,GNE-ITPL,CS-Girinagara Extension - CS-ITPL,3,
10156,38,302 SBS-SVPSH,SVPS-SBS,St Vincent Palloti School - Shivajinagara Bus Station,3,
10164,38,MF-36 SIMS-KTTMC,SIMS-KNG,Silk Institute Metro Station - Kengeri Bus Station,3,
10165,38,MF-36 SIMS-KTTMC,KNG-SIMS,Kengeri Bus Station - Silk Institute metro station,3,
10166,38,BTP-5,BTP-5,CS-Swamy Vivekanada Metro Station - CS-Bagmane Tech Park,3,
10167,38,BTP-4,BTP-4,CS-Swamy Vivekanada Metro Station - CS-Bagmane Tech Park,3,
10168,38,314-T RMN-VSD-KBS,RMN-KBS,Rameshnagara - Kempegowda Bus Station,3,
10169,38,BTP-4,BTP-4,CS-Bagmane Tech Park - CS-Swamy Vivekanada Metro Station,3,
10170,38,BTP-1,BTP-1,CS-Swamy Vivekanada Metro Station - CS-Bagmane Tech Park,3,
10171,38,BTP-1,BTP-1,CS-Bagmane Tech Park - CS-Swamy Vivekanada Metro Station,3,
10172,38,BTP-5,BTP-5,CS-Bagmane Tech Park - CS-Swamy Vivekanada Metro Station,3,
10173,38,401-RE,YTTMC-BEML5,Yeshawanthapura Bus Station - BEML Layout 5th stage,3,
10174,38,401-RE,BEML5-YTTMC,BEML Layout 5th stage - Yeshawanthapura Bus Station,3,
10175,38,500-C KRPGH-DSUK,KRPGH-DSUK,Krishnaraja Pura Govt Hospital - Dayanandasagara University Kudlu Gate,3,
